City,Avg_Severity,Accident_Count,Std_Dev,Severe_Accidents_Pct
Norcross,2.583075335397317,2907,0.556104614459833,55.49
Forsyth,2.5827814569536423,906,0.6567048082851505,49.12
Warner Robins,2.581081081081081,222,0.882306060472406,31.53
Smyrna,2.5804438280166435,1442,0.5944273458551473,54.09
Norwood,2.5804195804195804,143,0.6961927389414173,46.15
Jefferson,2.579047619047619,525,0.6710614865423772,48.76
Dry Branch,2.5772357723577235,123,0.7683080205539669,40.65
Colchester,2.576158940397351,151,0.8902215910862885,30.46
Trenton,2.5754716981132075,212,0.6450410649706925,49.06
Lithia Springs,2.574766355140187,1070,0.627942049536451,51.12
North Stonington,2.5737704918032787,122,0.8223935313731401,36.07
Bonaire,2.5728155339805827,103,0.8700004704480675,32.04
Kennesaw,2.5727980826842423,1669,0.5796328496384715,53.09
McDonough,2.570876288659794,1552,0.578021932217721,52.77
Madison,2.5700389105058368,514,0.7227554476304641,43.19
Ellenwood,2.5698234349919744,623,0.6116666922500499,51.52
Lithonia,2.5660160734787603,1742,0.6175251003788428,50.29
